community_id,community_name,post_id,post_username,post_created_at,heading,theme_label,sentiment_label,sentiment_score,post_like_count,comment_count,suggested_sponsor_category,commercial_evidence_terms,evidence_engagement
demo_shameless_community,Demo Shameless Community,a5805a92-36f4-4cc4-b616-30b62410a9f6,josie75,2026-03-05 10:55:00+00:00,Open thread for award season narratives.,award season,positive,0.7269,5,4,Award Season Season Award Season Award Season Audience Fit,"award season, season, award season, award season",9
demo_shameless_community,Demo Shameless Community,a4d5d251-2936-4702-a4e3-071c93cee31d,billiexo,2026-01-25 07:51:00+00:00,Open thread for award season narratives.,award season,positive,0.886,2,2,Award Season Season Award Season Award Season Audience Fit,"award season, season, award season, award season",4
demo_shameless_community,Demo Shameless Community,c09b7467-d5f1-456c-8f6e-5d015f0248b7,poppy_club,2026-02-15 09:00:00+00:00,Need the group's view on book-to-screen adaptations.,book to screen adaptations,positive,0.8399,5,5,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,"book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations",10
demo_shameless_community,Demo Shameless Community,304860d8-3207-4a61-be9c-371fa3086a31,beth,2026-03-18 12:39:00+00:00,What are we all thinking about book-to-screen adaptations right now?,book to screen adaptations,positive,0.7845,2,4,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,"book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations",6
demo_shameless_community,Demo Shameless Community,8d87c598-47d2-4a52-aa92-a325b7f3eea7,cleo,2026-03-27 18:05:00+00:00,I keep circling back to book-to-screen adaptations.,book to screen adaptations,positive,0.7845,1,3,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,"book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations",4
demo_shameless_community,Demo Shameless Community,14b9b482-b778-4bf8-85d9-b5db7a2b1459,mads,2026-02-04 19:08:00+00:00,Can someone explain why book-to-screen adaptations keeps coming back?,book to screen adaptations,positive,0.7845,1,1,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,"book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations",2
demo_shameless_community,Demo Shameless Community,e3bf71cc-483e-40f3-b68a-8f201affeeb0,nora24,2026-03-25 20:00:00+00:00,I keep circling back to book-to-screen adaptations.,book to screen adaptations,positive,0.3818,0,0,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,"book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations",0
demo_shameless_community,Demo Shameless Community,7e509fbc-9b1b-4e25-a0de-2eab1a6baca9,kate92,2026-02-17 21:27:00+00:00,What are we all thinking about brand founder scandals right now?,brand founder scandals,positive,0.491,3,3,Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit,"brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals",6
demo_shameless_community,Demo Shameless Community,35c86f01-08a4-4c94-828d-b3b0cc31b033,layla_x,2026-03-26 17:47:00+00:00,Need the group's view on cancelled tours.,cancelled tours,positive,0.9041,1,3,Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit,"cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled",4
demo_shameless_community,Demo Shameless Community,4221aa0a-a6aa-4a33-b14e-6f177363c349,willa55,2026-04-04 09:15:00+00:00,Can someone explain why cancelled tours keeps coming back?,cancelled tours,positive,0.7003,1,1,Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit,"cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled",2
demo_shameless_community,Demo Shameless Community,fdbffb09-955d-4d67-b49a-371e0e0f5c74,soph,2026-01-31 09:08:00+00:00,What are we all thinking about cancelled tours right now?,cancelled tours,positive,0.4404,0,0,Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit,"cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled",0
