comment_id,post_id,user_id,comment_username,comment_created_at,content,reply_to_comment_id,comment_like_count
910a04e4-b11d-4407-ba5c-fc734a2b7164,e864e3dd-2399-43fa-8e5b-3c29ec61854a,92a2012e-738d-4a74-becf-07dd07ab44f7,lila,2026-01-09 11:51:00+00:00,This is exactly the kind of topic that sounds bigger online than it is offline.,,3
5b93ed3a-6aea-4035-91f5-dc3d31923a38,f5f35d98-c72f-43fe-aac3-c33bde9ce310,b3cbce25-bcfc-4039-8e81-460817f8514c,poppy_club,2026-01-14 21:08:00+00:00,"This is where access, taste and timing all get muddled together.",,1
2d684ba8-ce2f-4067-9c18-29ca6ddd9ceb,f5f35d98-c72f-43fe-aac3-c33bde9ce310,51efd9cc-9dd5-4483-b6de-ee8e728b82e9,paige69,2026-01-15 00:08:00+00:00,My take is less dramatic: people just want a neat story arc.,,0
491f81d8-a4e1-48f5-941c-de635a85b176,f5f35d98-c72f-43fe-aac3-c33bde9ce310,b3cbce25-bcfc-4039-8e81-460817f8514c,poppy_club,2026-01-15 02:08:00+00:00,My unglamorous answer is that PR teams are better at shaping the vibe than the substance.,,1
bd13cb81-a093-43e2-84c8-30086492bb8a,f5f35d98-c72f-43fe-aac3-c33bde9ce310,51efd9cc-9dd5-4483-b6de-ee8e728b82e9,paige69,2026-01-15 04:08:00+00:00,I think the internet is flattening the most interesting part of it.,,2
77ef0779-2c7a-4088-9f13-d5a1833f98d6,d1215e6b-445f-4dc5-8cf9-f99d67129010,d3f621e6-367a-4f80-8697-80ba92f7badd,amber,2026-01-16 15:15:00+00:00,"This is where access, taste and timing all get muddled together.",,3
b72229b6-52c9-4100-a39c-7f8fe1260995,d1215e6b-445f-4dc5-8cf9-f99d67129010,b3cbce25-bcfc-4039-8e81-460817f8514c,poppy_club,2026-01-17 00:15:00+00:00,"I had not thought about it that way, but that feels right.",,0
176f607f-3e0c-4670-9663-1465d8576249,d1215e6b-445f-4dc5-8cf9-f99d67129010,8c3853ef-e9fd-489e-a00e-c4e6de6388c3,soph,2026-01-17 09:15:00+00:00,I think we pretend these conversations are about ethics when half the time they are about taste.,,2
760a8903-59b9-4fc8-bdf5-ce8228650a6d,46e7c05b-3c6f-4a02-88e5-c42e8431d29c,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-01-17 12:47:00+00:00,Honestly I think audience fatigue is doing half the work here.,,0
54c7365b-0c85-49fe-826d-4a17f31f10e1,46e7c05b-3c6f-4a02-88e5-c42e8431d29c,8c3853ef-e9fd-489e-a00e-c4e6de6388c3,soph,2026-01-17 14:47:00+00:00,The most revealing part is always what gets framed as relatable.,,0
99804484-4be4-478f-8372-7a7a2af197dc,46e7c05b-3c6f-4a02-88e5-c42e8431d29c,8c3853ef-e9fd-489e-a00e-c4e6de6388c3,soph,2026-01-17 17:47:00+00:00,I think the tricky part is i think we pretend these conversations are about ethics when half the time they are about taste.,760a8903-59b9-4fc8-bdf5-ce8228650a6d,0
9da56bf8-c7bc-4700-b691-6d945966c20e,a4d5d251-2936-4702-a4e3-071c93cee31d,8c3853ef-e9fd-489e-a00e-c4e6de6388c3,soph,2026-01-25 09:51:00+00:00,This is why I miss slower media cycles.,,2
079c9331-1188-482f-8a1c-ed78890e7126,a4d5d251-2936-4702-a4e3-071c93cee31d,7b71142d-776d-422c-9dd8-e8a1db4563e1,layla,2026-01-25 11:51:00+00:00,My unglamorous answer is that PR teams are better at shaping the vibe than the substance.,,1
53964d94-3ec2-479b-b6c3-c08a5e0e138e,a8fc2636-6528-4601-a315-3c4b7b731c70,7716d5c5-f68c-4d02-b068-a9e35a9545c4,sasha_zz,2026-01-25 23:00:00+00:00,"I had not thought about it that way, but that feels right.",,0
3e463991-1dd6-4058-9e31-99b45898552e,a8fc2636-6528-4601-a315-3c4b7b731c70,b9c72815-43ef-4b19-bccc-3fef787c4ac1,alixs,2026-01-26 11:00:00+00:00,I think the internet is flattening the most interesting part of it.,,1
bcb4fb25-32e1-46c1-87e7-3ad40fecf393,3d05704a-6b84-4700-8ef9-47380917f6dc,3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,2026-01-26 14:47:00+00:00,I would love a longer episode on this because the nuance disappears in clips.,,1
