post_id,post_username,post_created_at,heading,theme_label,sentiment_label,sentiment_score,post_like_count,comment_count
e864e3dd-2399-43fa-8e5b-3c29ec61854a,brookea,2026-01-09 09:51:00+00:00,What are we all thinking about nepo-baby discourse right now?,nepo baby,positive,0.3771428571428571,2,1
f5f35d98-c72f-43fe-aac3-c33bde9ce310,mads,2026-01-14 09:08:00+00:00,I keep circling back to celebrity side hustles.,celebrity side hustles,positive,0.3333333333333333,4,4
d1215e6b-445f-4dc5-8cf9-f99d67129010,paige69,2026-01-16 11:15:00+00:00,Can someone explain why celebrity memoirs keeps coming back?,celebrity memoirs,neutral,0.1,3,3
46e7c05b-3c6f-4a02-88e5-c42e8431d29c,paige69,2026-01-17 08:47:00+00:00,Can someone explain why girlboss backlash keeps coming back?,girlboss backlash,neutral,0.0,3,3
a4d5d251-2936-4702-a4e3-071c93cee31d,billiexo,2026-01-25 07:51:00+00:00,Open thread for award season narratives.,award season,positive,0.27,2,2
a8fc2636-6528-4601-a315-3c4b7b731c70,mads,2026-01-25 20:00:00+00:00,I keep circling back to nepo-baby discourse.,nepo baby,neutral,0.15,1,3
3d05704a-6b84-4700-8ef9-47380917f6dc,mads,2026-01-26 09:47:00+00:00,Need the group's view on celebrity side hustles.,celebrity side hustles,neutral,0.18,4,2
60403083-831d-4220-9e57-833119cdeaf9,mads,2026-01-27 18:05:00+00:00,Is anyone else fully locked into internet overexposure discourse?,internet overexposure,neutral,0.13333333333333333,2,2
c299d029-cc41-4e2e-9e3f-93fa7677dc20,fern,2026-01-28 19:08:00+00:00,Can someone explain why microtrend fatigue keeps coming back?,microtrend fatigue,positive,0.4,0,5
a027f881-f689-425f-92b3-7229f78c04f7,lila,2026-01-28 20:00:00+00:00,Need the group's view on PR relationships.,pr relationships,positive,0.3666666666666667,1,1
515f4aff-3724-410b-978d-f0ee289d452a,alixs,2026-01-31 07:47:00+00:00,Need the group's view on reality TV villains.,reality tv villains,neutral,0.0625,3,0
fdbffb09-955d-4d67-b49a-371e0e0f5c74,soph,2026-01-31 09:08:00+00:00,What are we all thinking about cancelled tours right now?,cancelled tours,positive,0.42857142857142855,0,0
7246c0c9-fe80-47d5-aa99-0109012b7c88,fern,2026-01-31 13:51:00+00:00,Need the group's view on PR relationships.,pr relationships,positive,0.3333333333333333,3,3
ed0f7f58-1d69-4376-96c9-9e80d9f315b4,fern,2026-02-01 08:08:00+00:00,What are we all thinking about movie press tours right now?,movie press tours,positive,0.3214285714285714,2,2
