community_id,community_name,post_id,post_username,post_created_at,heading,theme_label,post_like_count,comment_count,sentiment_label,sentiment_score,engagement_count,momentum_period
demo_shameless_community,Demo Shameless Community,304860d8-3207-4a61-be9c-371fa3086a31,beth,2026-03-18 12:39:00+00:00,What are we all thinking about book-to-screen adaptations right now?,book to screen adaptations,2,4,positive,0.3464285714285714,6,current_period
demo_shameless_community,Demo Shameless Community,8d87c598-47d2-4a52-aa92-a325b7f3eea7,cleo,2026-03-27 18:05:00+00:00,I keep circling back to book-to-screen adaptations.,book to screen adaptations,1,3,positive,0.275,4,current_period
demo_shameless_community,Demo Shameless Community,e3bf71cc-483e-40f3-b68a-8f201affeeb0,nora24,2026-03-25 20:00:00+00:00,I keep circling back to book-to-screen adaptations.,book to screen adaptations,0,0,neutral,0.1,0,current_period
demo_shameless_community,Demo Shameless Community,35c86f01-08a4-4c94-828d-b3b0cc31b033,layla_x,2026-03-26 17:47:00+00:00,Need the group's view on cancelled tours.,cancelled tours,1,3,positive,0.525,4,current_period
demo_shameless_community,Demo Shameless Community,4221aa0a-a6aa-4a33-b14e-6f177363c349,willa55,2026-04-04 09:15:00+00:00,Can someone explain why cancelled tours keeps coming back?,cancelled tours,1,1,positive,0.39999999999999997,2,current_period
demo_shameless_community,Demo Shameless Community,d9e168ee-f673-40e0-b41a-e95af1bb1cd3,mads,2026-04-04 19:08:00+00:00,I keep circling back to comfort rewatches.,comfort rewatches,0,3,positive,0.25,3,current_period
demo_shameless_community,Demo Shameless Community,e876c999-7fad-44a0-87c5-bfa3ac78ad4b,soph,2026-03-13 08:27:00+00:00,Open thread for comfort rewatches.,comfort rewatches,1,1,neutral,-0.02,2,current_period
demo_shameless_community,Demo Shameless Community,8b8edea4-d7a8-4d2b-b0db-ba207e05c3d1,alixclub,2026-04-04 09:15:00+00:00,Hot take request: girlboss backlash.,girlboss backlash,0,2,positive,0.375,2,current_period
demo_shameless_community,Demo Shameless Community,6a7d33d9-89e4-4e49-918e-2a38a261753b,lila,2026-04-02 06:00:00+00:00,I have a hot take on redemption arcs,have redemption arcs,2,2,neutral,0.08333333333333333,4,current_period
demo_shameless_community,Demo Shameless Community,b107e74e-9d68-42fc-9948-7e31dc7df346,rubyx,2026-03-31 09:42:00+00:00,Can someone explain why internet overexposure keeps coming back?,internet overexposure,5,0,positive,0.275,5,current_period
demo_shameless_community,Demo Shameless Community,0707d0e2-88b0-4ed4-aae2-7f0352dbc1c1,lila,2026-03-30 09:00:00+00:00,Best long-read on the celebrity memoir boom?,long read the celebrity memoir boom,0,2,positive,0.440625,2,current_period
demo_shameless_community,Demo Shameless Community,7ddce478-0c9e-4986-8b5c-746a2a9dc0e7,mads,2026-03-10 07:27:00+00:00,Open thread for Messy celeb interviews.,messy celeb interviews,1,2,neutral,-4.625929269271485e-18,3,current_period
demo_shameless_community,Demo Shameless Community,86e188be-c8ac-4809-8637-6528b92f210b,layla_x,2026-03-17 20:39:00+00:00,Who has the best take on microtrend fatigue?,microtrend fatigue,2,5,positive,0.6666666666666666,7,current_period
demo_shameless_community,Demo Shameless Community,6b2fb792-3795-457a-b4cc-28eb1bb6dc24,cleo,2026-03-13 08:00:00+00:00,Is anyone else fully locked into microtrend fatigue discourse?,microtrend fatigue,1,2,positive,0.75,3,current_period
demo_shameless_community,Demo Shameless Community,3be96144-8c14-4574-90c3-7ebfd487d1a6,remis,2026-03-11 17:22:00+00:00,I keep circling back to microtrend fatigue.,microtrend fatigue,0,0,positive,0.38,0,current_period
demo_shameless_community,Demo Shameless Community,59a7b8cf-33d1-4d84-855f-e02b9045476f,mae,2026-03-25 10:51:00+00:00,Need the group's view on movie press tours.,movie press tours,4,4,positive,0.3666666666666667,8,current_period
demo_shameless_community,Demo Shameless Community,df44d941-4ec3-4b8a-9105-4128a81bcb90,josie75,2026-03-26 08:22:00+00:00,Open thread for movie press tours.,movie press tours,0,5,neutral,0.0,5,current_period
demo_shameless_community,Demo Shameless Community,5dc3030f-337e-45d1-886f-5ccb2a75d31b,nell35,2026-04-01 12:05:00+00:00,Can someone explain why movie press tours keeps coming back?,movie press tours,2,3,positive,0.275,5,current_period
demo_shameless_community,Demo Shameless Community,fb7cb5bd-14fc-424c-8ada-76a7688727a6,josie75,2026-03-18 10:51:00+00:00,Need the group's view on nepo-baby discourse.,nepo baby,3,2,positive,0.475,5,current_period
demo_shameless_community,Demo Shameless Community,d8f0e5bc-f4aa-4fc1-a233-1044c7ddbb91,mads,2026-03-29 10:00:00+00:00,Who is handling the latest nepo-baby discourse best?,nepo baby,2,3,positive,0.54,5,current_period
demo_shameless_community,Demo Shameless Community,3c4bab93-8dd7-4f9f-b155-2ac60d2ba966,alixclub,2026-03-24 18:12:00+00:00,Is anyone else fully locked into nepo-baby discourse discourse?,nepo baby,0,2,positive,0.5,2,current_period
demo_shameless_community,Demo Shameless Community,e9a44914-a3cb-4091-a52e-3bea608a35ae,sasha_notes,2026-03-12 13:00:00+00:00,Need the group's view on parasocial friendship.,parasocial friendship,0,1,neutral,0.0,1,current_period
demo_shameless_community,Demo Shameless Community,bea8475f-3c8f-4dc7-9b13-914f7a378d0c,cleo,2026-03-28 17:42:00+00:00,I keep circling back to parasocial friendship.,parasocial friendship,1,0,positive,0.2733333333333333,1,current_period
demo_shameless_community,Demo Shameless Community,dbeb47af-6152-4335-8710-86398ae0410f,bellaclub,2026-04-06 17:55:00+00:00,Who has the best take on parasocial friendship?,parasocial friendship,1,0,positive,0.6,1,current_period
demo_shameless_community,Demo Shameless Community,ebe938ce-8291-4fa2-869e-bd3acb6737fe,tara,2026-04-05 03:00:00+00:00,Community poll: do you like guest episodes more than host-only chats?,poll you like guest more,3,2,neutral,0.16666666666666666,5,current_period
demo_shameless_community,Demo Shameless Community,e1edcf7b-0b8b-40b8-b643-d60f9af9051e,lila,2026-03-27 09:27:00+00:00,Open thread for PR relationships.,pr relationships,4,3,neutral,0.1,7,current_period
demo_shameless_community,Demo Shameless Community,45917656-6d24-4051-b55f-c6590833f526,beth,2026-03-31 19:51:00+00:00,Can someone explain why reality TV villains keeps coming back?,reality tv villains,5,3,positive,0.21785714285714283,8,current_period
demo_shameless_community,Demo Shameless Community,998d1e4d-1c33-4914-8e90-055bd3cd0d5c,isla_x,2026-03-14 21:15:00+00:00,I keep circling back to reality TV villains.,reality tv villains,2,2,positive,0.21785714285714283,4,current_period
demo_shameless_community,Demo Shameless Community,d1370ea2-2343-49b0-8c42-9c628fb23ed5,cleo,2026-04-06 11:51:00+00:00,Need the group's view on reality TV villains.,reality tv villains,0,0,positive,0.25625,0,current_period
demo_shameless_community,Demo Shameless Community,1b3e2721-f5d7-434b-a363-69c6a7f2a42c,isla_x,2026-03-18 08:12:00+00:00,I keep circling back to sad girl pop.,sad girl pop,1,6,neutral,0.1,7,current_period
demo_shameless_community,Demo Shameless Community,0aa50379-aa7c-4811-b0a1-db0c529a099f,nora24,2026-03-19 20:18:00+00:00,Open thread for sad girl pop.,sad girl pop,1,2,neutral,-0.16666666666666666,3,current_period
demo_shameless_community,Demo Shameless Community,e85aa71f-0e17-4881-9eaf-840b3432d863,heidi33,2026-04-01 07:47:00+00:00,I keep circling back to sad girl pop.,sad girl pop,1,1,neutral,-0.13333333333333333,2,current_period
demo_shameless_community,Demo Shameless Community,9c124498-340f-47a4-8771-8d0d3b8cf908,soph,2026-03-31 08:00:00+00:00,April recs: what's your smartest dumb watch?,smartest dumb watch,0,2,negative,-0.375,2,current_period
demo_shameless_community,Demo Shameless Community,a787633a-2847-46a6-8524-6f47033f0b07,nia,2026-04-03 05:00:00+00:00,Episode thread: the fame fatigue chat,the fame fatigue chat,1,3,positive,0.37878787878787873,4,current_period
demo_shameless_community,Demo Shameless Community,72698255-5753-4c5f-9a87-046f0b38893b,cleo,2026-04-04 04:00:00+00:00,What's your comfort rewatch right now?,what's your comfort rewatch,0,2,positive,0.2857142857142857,2,current_period
demo_shameless_community,Demo Shameless Community,41fcff45-6368-499e-acd4-2bc044a3e18c,mads,2026-04-01 07:00:00+00:00,Would you go to a Shameless live-listen in Melbourne?,would you shameless live listen melbourne,0,3,neutral,0.05454545454545454,3,current_period
